Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
IoRT and&#xa0;AI-Driven Solution for&#xa0;Optimal Herbicides Spray on&#xa0;Weeds in&#xa0;a&#xa0;Dynamic Agriculture Environment,Advanced Information Networking and Applications,,,,10.1007/978-3-031-87775-9_25,Rajni GoyalShobha KumariAmar NathGurjinder Kaur,2025,https://link.springer.com/chapter/10.1007/978-3-031-87775-9_25,Conference paper
"Autonomous control of unmanned aerial vehicles: applications, requirements, challenges",Cluster Computing,,,,10.1007/s10586-025-05418-6,Hüseyin KüçükerdemCemal YilmazHamdi Tolga KahramanYusuf Sönmez,2025,https://link.springer.com/article/10.1007/s10586-025-05418-6,Article
Drone network for early warning of forest fire and dynamic fire quenching plan generation,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-023-02320-w,S. ManojC. Valliyammai,2023,https://link.springer.com/article/10.1186/s13638-023-02320-w,Article
Resource Allocation for UAV Swarms Based on Major-Minor Mean Field Game,Advanced Intelligent Computing Technology and Applications,,,,10.1007/978-981-96-9901-8_42,Siwei ChenQiang ChangYuan ZuoFei Xie,2025,https://link.springer.com/chapter/10.1007/978-981-96-9901-8_42,Conference paper
Path planning in three-dimensional space based on butterfly optimization algorithm,Scientific Reports,,,,10.1038/s41598-024-52750-9,Hakimeh MazaheriSalman GoliAli Nourollah,2024,https://link.springer.com/article/10.1038/s41598-024-52750-9,Article
Two-stage heuristic genetic optimization algorithm for multi-UAV logistics task allocation,International Journal of Machine Learning and Cybernetics,,,,10.1007/s13042-025-02747-1,Hao GuoXiaochong TongYuekun SunJiayuan ChengChang YuanYunrui BaiHe LiCongzhou Guo,2025,https://link.springer.com/article/10.1007/s13042-025-02747-1,Article
Multi-objective Path Planning of Multiple Unmanned Air Vehicles Using the CCMO Algorithm,Advances in Swarm Intelligence,,,,10.1007/978-981-97-7181-3_36,Zhenghan ZhouYutong LiuTianwei ZhouBen Niu,2024,https://link.springer.com/chapter/10.1007/978-981-97-7181-3_36,Conference paper
Metaheuristic Optimization for&#xa0;3D UAV Placement,"Paradigm Shifts in Communication, Embedded Systems, Machine Learning, and Signal Processing",,,,10.1007/978-3-031-90577-3_34,M. Nithish KumarDikshant MendheShaik RafeePraveen PawarArvind Kumar,2025,https://link.springer.com/chapter/10.1007/978-3-031-90577-3_34,Conference paper
Assessing Path Planning Algorithms of Mobile Robots: A ROS-Based Simulation Framework,Disruptive Technologies and Optimization Towards Industry 4.0 Logistics,,,,10.1007/978-3-031-58919-5_5,Georgios KaramitsosDimitrios BechtsisNaoum TsolakisDimitrios Vlachos,2024,https://link.springer.com/chapter/10.1007/978-3-031-58919-5_5,Chapter
Strategy for Artificial Intelligence,Transforming Agriculture through Artificial Intelligence for Sustainable Food Systems,,,,10.1007/978-981-96-4795-8_10,Aditya KumarBinita KumariPradeep Mishra,2025,https://link.springer.com/chapter/10.1007/978-981-96-4795-8_10,Chapter
UGV-UAV Integration Advancements for Coordinated Missions: A Review,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-025-02273-w,Farah Syazwani ShaharMohamed Tariq Hameed SultanMarek NowakowskiAndrzej Łukaszewicz,2025,https://link.springer.com/article/10.1007/s10846-025-02273-w,Article
25 Years of Particle Swarm Optimization: Flourishing Voyage of Two Decades,Archives of Computational Methods in Engineering,,,,10.1007/s11831-022-09849-x,Janmenjoy NayakH. SwapnarekhaBighnaraj NaikGaurav DhimanS. Vimal,2022,https://link.springer.com/article/10.1007/s11831-022-09849-x,Article
Path planning for greenhouse robots using a hybrid Dung beetle algorithm,Intelligent Service Robotics,,,,10.1007/s11370-025-00592-3,Xinhao ZhangYuqing DuanXuefei LiJinqi YangDaoliang LiRan ZhaoWang Yang,2025,https://link.springer.com/article/10.1007/s11370-025-00592-3,Article
Performance analysis of path planning techniques for autonomous robots,International Journal of Intelligent Robotics and Applications,,,,10.1007/s41315-023-00298-8,Lidia G. S. RochaPedro H. C. KimKelen C. Teixeira Vivaldini,2023,https://link.springer.com/article/10.1007/s41315-023-00298-8,Article
Fixed-Wing UAV Energy Efficient 3D Path Planning in Cluttered Environments,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01608-1,Giuseppe AielloKimon P. ValavanisAlessandro Rizzo,2022,https://link.springer.com/article/10.1007/s10846-022-01608-1,Article
Computational offloading into UAV swarm networks: a systematic literature review,EURASIP Journal on Wireless Communications and Networking,,,,10.1186/s13638-024-02401-4,Asrar Ahmed BaktayanAmmar Thabit ZaharyAxel SikoraDominik Welte,2024,https://link.springer.com/article/10.1186/s13638-024-02401-4,Article
UAV target tracking: a survey,Artificial Intelligence Review,,,,10.1007/s10462-025-11348-x,Pengnian WuYixuan LiDong Xue,2025,https://link.springer.com/article/10.1007/s10462-025-11348-x,Article
Understanding the Roots of Swarm Intelligence in Defence to Find the Path Forward,Thinking Swarms,,,,10.1007/978-3-031-82790-7_2,Anton KlarinPi-Shen SeetJanice JonesMichael N. JohnstoneHelen CrippsJalleh SharafizadTony Marceddo,2025,https://link.springer.com/chapter/10.1007/978-3-031-82790-7_2,Chapter
An exploration-enhanced hybrid algorithm based on regularity evolution for multi-objective multi-UAV 3-D path planning,Complex & Intelligent Systems,,,,10.1007/s40747-025-01846-4,Zhenzu BaiHaiyin ZhouJuhui WeiXuanying ZhouYida NingJiongqi Wang,2025,https://link.springer.com/article/10.1007/s40747-025-01846-4,Article
Optimization of Dual-type Multi-drone Formations for Load-carrying Missions,"International Journal of Control, Automation and Systems",,,,10.1007/s12555-024-0544-6,Ardian RizaldiYoonsoo Kim,2025,https://link.springer.com/article/10.1007/s12555-024-0544-6,Article
Novel Reinforcement Learning Guided Enhanced Variable Weight Grey Wolf Optimization (RLV-GWO) Algorithm for Multi-UAV Path Planning,Wireless Personal Communications,,,,10.1007/s11277-023-10534-w,Rajeev KumarLaxman SinghRajdev Tiwari,2023,https://link.springer.com/article/10.1007/s11277-023-10534-w,Article
Synergistic Approach for UAV Target Tracking: A Voronoi-GWO-Reinforcement Learning Framework,Computational and Experimental Simulations in Engineering,,,,10.1007/978-3-031-82907-9_16,Pranamya P. BhatNeeraj SudheerNandana ManojPreethika Ajay KumarRicha SharmaArti Arya,2025,https://link.springer.com/chapter/10.1007/978-3-031-82907-9_16,Conference paper
A State-of-the-Art Literature Review on Drone Optimization,Women in Soft Computing,,,,10.1007/978-3-031-44706-8_6,Vanita GargDimple Kumari,2024,https://link.springer.com/chapter/10.1007/978-3-031-44706-8_6,Chapter
Decentralized control design for UAV swarms communication,Discover Applied Sciences,,,,10.1007/s42452-024-06408-w,Manju SPrabha MFarithkhan ASivagurunathan GMichael Mahesh K,2025,https://link.springer.com/article/10.1007/s42452-024-06408-w,Article
5G Integration for Enhanced UAV Swarm Connectivity,Unmanned Aerial Vehicles Swarm for Protecting Smart Cities,,,,10.1007/979-8-8688-1047-3_5,Faisal RehmanMuhammad Hammad NawazShanza Gul,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1047-3_5,Chapter
A State-of-the-Art Review on Genetic Algorithm and Particle Swarm Optimization,Soft Computing for Problem Solving,,,,10.1007/978-981-96-8456-4_10,Rekha RaniVanita GargSarika Jain,2025,https://link.springer.com/chapter/10.1007/978-981-96-8456-4_10,Conference paper
An analysis of the robustness of UAV agriculture field coverage using multi-agent reinforcement learning,International Journal of Information Technology,,,,10.1007/s41870-023-01264-0,Nirmal MarwahVivek Kumar SinghGautam Siddharth KashyapSamar Wazir,2023,https://link.springer.com/article/10.1007/s41870-023-01264-0,Article
An intelligence technique for route distance minimization to store and marketize the crop using computational optimization algorithms,Scientific Reports,,,,10.1038/s41598-025-14263-x,Saikat BanerjeeAbhoy Chand Mondal,2025,https://link.springer.com/article/10.1038/s41598-025-14263-x,Article
Path Planning with Improved Dueling DQN Algorithm for UAVs in Unknown Dynamic Environment,Computational and Experimental Simulations in Engineering,,,,10.1007/978-3-031-44947-5_36,Wenshan WangGuoyin ZhangQingan DaYe Tian,2024,https://link.springer.com/chapter/10.1007/978-3-031-44947-5_36,Conference paper
Efficient UAV clustering with stable backup nodes for mobility management in UAV based IoT network,Wireless Networks,,,,10.1007/s11276-025-04057-4,A. RajashekarDharamendra Chouhan,2025,https://link.springer.com/article/10.1007/s11276-025-04057-4,Article
Simulation Framework for Addressing Challenges in Path Planning Evaluation for an Autonomous Surface Vehicle,Journal of Marine Science and Application,,,,10.1007/s11804-025-00646-z,Chuong NguyenMinh TranTrung-Tin NguyenNuwantha FernandoLiuping WangHung Nguyen,2025,https://link.springer.com/article/10.1007/s11804-025-00646-z,Article
Integrating Drone Data Security and Route Optimization Algorithms: Addressing Security Challenges in Unmanned Aerial Systems,"Generative AI in Healthcare: Concepts, Methodologies, Tools, and Applications",,,,10.1007/978-981-95-2129-6_3,Andleeb KhanParma NandBharat BhushanMustafa Al-Asadi,2025,https://link.springer.com/chapter/10.1007/978-981-95-2129-6_3,Chapter
Path planning optimization in unmanned aerial vehicles using meta-heuristic algorithms: a systematic review,Environmental Monitoring and Assessment,,,,10.1007/s10661-022-10590-y,Hazha Saeed YahiaAmin Salih Mohammed,2022,https://link.springer.com/article/10.1007/s10661-022-10590-y,Article
Optimizing Drone Navigation Using Shortest Path Algorithms,Recent Trends in Image Processing and Pattern Recognition,,,,10.1007/978-3-031-53082-1_24,GirijalaxmiKavita V. HoudeRavindra S. Hegadi,2024,https://link.springer.com/chapter/10.1007/978-3-031-53082-1_24,Conference paper
UAV Path Planning Using Optimization Approaches: A Survey,Archives of Computational Methods in Engineering,,,,10.1007/s11831-022-09742-7,Amylia Ait SaadiAssia SoukaneYassine MeraihiAsma Benmessaoud GabisSeyedali MirjaliliAmar Ramdane-Cherif,2022,https://link.springer.com/article/10.1007/s11831-022-09742-7,Article
Artificial Intelligence in Drone and Anti-drone Systems: Cutting-Edge Advances and Applications,Innovative Technologies on Electrical Power Systems for Smart Cities Infrastructure,,,,10.1007/978-3-031-86705-7_16,Yasmine GhazlaneBnouachir HajarEl Maghraoui HajarHaidrar SaidaEl Yadari Mourad,2025,https://link.springer.com/chapter/10.1007/978-3-031-86705-7_16,Conference paper
Optimizing 3D UAV Path Planning: A Multi-strategy Enhanced Beluga Whale Optimizer,Neural Information Processing,,,,10.1007/978-981-99-8082-6_4,Chen YeWentao WangShaoping ZhangPeng Shao,2024,https://link.springer.com/chapter/10.1007/978-981-99-8082-6_4,Conference paper
AI empowered data offloading in MEC enabled UAV networks,Multimedia Tools and Applications,,,,10.1007/s11042-024-19859-5,Nesrine MaatoukAsma Ben LetaifaAbderrezak Rachedi,2024,https://link.springer.com/article/10.1007/s11042-024-19859-5,Article
"Unmanned aerial vehicle assisted communication: applications, challenges, and future outlook",Cluster Computing,,,,10.1007/s10586-024-04631-z,Yilin LiYanxian BiJian WangZhiqiang LiHongxia ZhangPeiying Zhang,2024,https://link.springer.com/article/10.1007/s10586-024-04631-z,Article
Intelligent Path Planning Technologies of Underwater Vehicles: a Review,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01794-y,Dong AnYizhuo MuYaqian WangBaoke LiYaoguang Wei,2023,https://link.springer.com/article/10.1007/s10846-022-01794-y,Article
Real-World Deployments in Unmanned Aerial Vehicle Swarms,Unmanned Aerial Vehicles Swarm for Protecting Smart Cities,,,,10.1007/979-8-8688-1047-3_3,Muhammad Danyal JavedSher TajYonghao LiuRahim KhanHina HassanM. A. Al-KhasawnehInam Ullah,2025,https://link.springer.com/chapter/10.1007/979-8-8688-1047-3_3,Chapter
UAV Trajectory Planning Based on Deep Residual Learning Network Optimization,Trends in Advanced Unmanned Aerial Systems,,,,10.1007/978-981-96-3240-4_6,Yinghuang LiuZhi LuXizhe TianRui Hou,2025,https://link.springer.com/chapter/10.1007/978-981-96-3240-4_6,Conference paper
Path Optimization Method Under UAV Charging Scheduling Network,Algorithms and Architectures for Parallel Processing,,,,10.1007/978-981-96-1528-5_16,Tingting YangYiqian WangJie ZhuShuyu ChangHaiping Huang,2025,https://link.springer.com/chapter/10.1007/978-981-96-1528-5_16,Conference paper
Intelligent multi-robot exploration in non-exposed spaces: methods and challenges,Artificial Intelligence Review,,,,10.1007/s10462-025-11395-4,Liuchun LiBisheng YangChi ChenZhengfei YanShangzhe SunYuhang XuAng JinLeyi Zhao,2025,https://link.springer.com/article/10.1007/s10462-025-11395-4,Article
A Review of Task Allocation Methods for UAVs,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-023-02011-0,George Marios SkaltsisHyo-Sang ShinAntonios Tsourdos,2023,https://link.springer.com/article/10.1007/s10846-023-02011-0,Article
MODMOA: A Novel Multi-objective Optimization Algorithm for Unmanned Aerial Vehicle Path Planning,Bio-Inspired Computing: Theories and Applications,,,,10.1007/978-981-97-2272-3_4,Qian WangXiaobo LiPeng SuYuxin ZhaoQiyong Fu,2024,https://link.springer.com/chapter/10.1007/978-981-97-2272-3_4,Conference paper
A Lightweight UAV Delivering Order Method Based on&#xa0;Dynamic Environmental Information,Proceedings of 4th 2024 International Conference on Autonomous Unmanned Systems (4th ICAUS 2024),,,,10.1007/978-981-96-3552-8_43,Yifan GuChenhua PengJianxin ZhouLei MoChaoqun YangHeng Zhang,2025,https://link.springer.com/chapter/10.1007/978-981-96-3552-8_43,Conference paper
Multi objective hybrid optimization for secure and energy effective data communication in wireless sensor network for IoT environment,International Journal of Information Technology,,,,10.1007/s41870-025-02817-1,Vadala NagamaniK. Annapurna,2025,https://link.springer.com/article/10.1007/s41870-025-02817-1,Article
A review of artificial intelligence applied to path planning in UAV swarms,Neural Computing and Applications,,,,10.1007/s00521-021-06569-4,Alejandro Puente-CastroDaniel RiveroAlejandro PazosEnrique Fernandez-Blanco,2021,https://link.springer.com/article/10.1007/s00521-021-06569-4,Article
Unmanned Aerial Vehicle Path Planning Algorithms for Very High Voltage Transmission Lines Inspection,Advances in Control Power Systems and Emerging Technologies,,,,10.1007/978-3-031-51796-9_15,Lamyae FahmaniSiham BenhadouHicham Medromi,2024,https://link.springer.com/chapter/10.1007/978-3-031-51796-9_15,Conference paper
Application of Bio and Nature-Inspired Algorithms in Agricultural Engineering,Archives of Computational Methods in Engineering,,,,10.1007/s11831-022-09857-x,Chrysanthos MaraveasPanagiotis G. AsterisKonstantinos G. ArvanitisThomas BartzanasDimitrios Loukatos,2022,https://link.springer.com/article/10.1007/s11831-022-09857-x,Article
A comprehensive survey of convergence analysis of beetle antennae search algorithm and its applications,Artificial Intelligence Review,,,,10.1007/s10462-024-10789-0,Changzu ChenLi CaoYaodan ChenBinhe ChenYinggao Yue,2024,https://link.springer.com/article/10.1007/s10462-024-10789-0,Article
